,number,name,href,len
0,0,3_regularization.ipynb,https://nbviewer.jupyter.org/github/simsicon/udactiy-tf-assignments/blob/a199c51817f19a7a45ee0f2f05faed3b352ff1ea/3_regularization.ipynb,22402
1,1,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/geotho/udacity-tensorflow/blob/d77f3201123247b43fe439e590f8fe4437a422bb/2_fullyconnected.ipynb,10263
2,2,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/yinghsienwu/DeepLearning/blob/cfce07de8125fb802d30f01895f02188fff9c43b/2_fullyconnected.ipynb,10164
3,3,3_regularization.ipynb,https://nbviewer.jupyter.org/github/emma-holmes/Deep-Learning-Assignments/blob/1e5db45bed352d73c42d1a55f0fdd8b955f4525e/3_regularization.ipynb,17437
4,4,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/FilipaCSR/TensorFlow_Udacity_Assignments/blob/7e3b3a3a7ba521783485d7d287d5d14d328771ac/2_fullyconnected.ipynb,10114
5,5,3_regularization.ipynb,https://nbviewer.jupyter.org/github/KayO-GH/Deep-Learning-notMNIST/blob/cabcec754c0ae507827479e84df5461d6caa863d/3_regularization.ipynb,19868
6,6,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/ashik94vc/udacity_ud730_assignment/blob/df615052d2272bf8bc2e6dc207c47e4595f92121/2_fullyconnected.ipynb,9946
7,7,regularization.ipynb,https://nbviewer.jupyter.org/github/tanujyadav97/character_classifier/blob/5b55cacd07402f4015ca6f46d649f7e28e1a1eb3/regularization.ipynb,21531
8,8,Tensorflow-2-FullyConnected.ipynb,https://nbviewer.jupyter.org/github/rhodesai/bootcamp/blob/86b7e08a13e415f76b40a2734fce99523d74709b/3.%20Machine%20Learning%20Introduction/3.1.%20Concepts%20-%20Machine%20Learning%20Basics/notebooks/extras/tensorflow/Tensorflow-2-FullyConnected.ipynb,9983
9,9,3_regularization.ipynb,https://nbviewer.jupyter.org/github/rmarquis/udacity-deeplearning/blob/43a07b7ab4b0be44c6a389a7e60b19816513ff75/3_regularization.ipynb,43640
10,10,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/sthoong/TensorflowCourse/blob/61d6888c5554c6c789b746c079c76f7e6e99e28b/2_fullyconnected.ipynb,9901
11,11,DNN-checkpoint.ipynb,https://nbviewer.jupyter.org/github/wangjubo/Udacity/blob/28dace92f6aeec8cbf3e4dbba5aaa957a869b12e/SelfDrivingCarNanoDegree/others/.ipynb_checkpoints/DNN-checkpoint.ipynb,4371
12,12,3_regularization.ipynb,https://nbviewer.jupyter.org/github/AndSoOn/NLP/blob/94991e4c9e0e181001b99d203444e7d6d4792bec/udacity/3_regularization.ipynb,22577
13,13,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/avalanchesiqi/MOOC/blob/481e5dfcde78e4c29a76aef04461f603f9a58e7d/google_deeplearning/2_fullyconnected.ipynb,10103
14,14,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/nunoskew/tf-assignments/blob/683863a9af83c245054b1153a199ef171a1b3b4a/2_fullyconnected.ipynb,10245
15,15,3_regularization.ipynb,https://nbviewer.jupyter.org/github/vcaldas/MOOC/blob/09adcb2fc3f95e8ac430ee75d7a4101a0a406743/Udacity_Deep_Learning/3_regularization.ipynb,19078
16,16,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/GKarmakar/WorkingNotebooks/blob/c2081826c27c0f63dad6b4da3598f3f1d3980191/2_fullyconnected.ipynb,10114
17,17,%E5%A4%9A%E5%B1%82%E6%84%9F%E7%9F%A5%E6%9C%BA.ipynb,https://nbviewer.jupyter.org/github/justrypython/utils/blob/697a902c5544abd15074512639a29eb42fe1b5f8/src/%E5%A4%9A%E5%B1%82%E6%84%9F%E7%9F%A5%E6%9C%BA.ipynb,1451
18,18,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/charlesluo1/udacity/blob/2d5a6d8d2d9d720881aec69bea466c8f91a06829/Deep%20Learning/2_fullyconnected.ipynb,10154
19,19,3_regularization_jfpu.ipynb,https://nbviewer.jupyter.org/github/jfpu/udacity_ud370/blob/414bb0ee97cc4b035b6bbfd929cc8ef3dae19acd/3_regularization_jfpu.ipynb,16422
20,20,3_regularization.ipynb,https://nbviewer.jupyter.org/github/understructure/deep-learning-notes/blob/c59fa95d5949542657ff4b91b38b12c1d5d0a283/udacity_ud730/coursework/3_regularization.ipynb,10842
21,21,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/yangp725/udacity/blob/1f0027eca162d0dd90711e9cf70301bf3633e064/2_fullyconnected.ipynb,10324
22,22,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/Rohan0401/UdacityDeepLearning/blob/a6240e60ad309bf277f24b3a03f1f73f9a975850/2_fullyconnected.ipynb,10116
23,23,ConvolutionNetwork.ipynb,https://nbviewer.jupyter.org/github/veerashayyagari/DeepLearning_Udacity/blob/ded31936c3297563c6cf134ecc319b4d4f272ac6/Project-2/image-classification/ConvolutionNetwork.ipynb,4800
24,24,TicTacToe-Copy1.ipynb,https://nbviewer.jupyter.org/github/NickRyder/AI/blob/e00979fbeffc7a6a63fb1e34375d247f9c99139d/TicTacToe/venv/TicTacToe-Copy1.ipynb,29423
25,25,3_regularization.ipynb,https://nbviewer.jupyter.org/github/sumitbinnani/udacity-deep-learning-tensorflow-assignments/blob/328f9b3629b5e85ca3353b83b8be6d193b8b541e/Assignments/3_regularization.ipynb,15323
26,26,3_regularization.ipynb,https://nbviewer.jupyter.org/github/arturomp/udacity-deep-learning/blob/63476ef381ef4227e5f6346eb5a5f873748bed11/3_regularization.ipynb,25365
27,27,TicTacToe_backup-checkpoint.ipynb,https://nbviewer.jupyter.org/github/NickRyder/AI/blob/e00979fbeffc7a6a63fb1e34375d247f9c99139d/TicTacToe/venv/.ipynb_checkpoints/TicTacToe_backup-checkpoint.ipynb,26995
28,28,3_regularization.ipynb,https://nbviewer.jupyter.org/github/Iolaum/ud370/blob/2951cb6ef3e17a7e7ef78c27d986718ea25decd0/assignments/3_regularization.ipynb,150378
29,29,End-to-end_memory_network-class.ipynb,https://nbviewer.jupyter.org/github/SavvaI/Yahoo_QA/blob/ef8c993dcd970fdd1b724747581dc216fbc2b797/End-to-end_memory_network-class.ipynb,11286
30,30,tf4.ipynb,https://nbviewer.jupyter.org/github/ibunny01/tensorflow_notebook/blob/3f258878a5c7c8d1ca555a90496ec58c0a3989cd/tf4.ipynb,7108
31,31,Tensorflow-3-Regularization.ipynb,https://nbviewer.jupyter.org/github/KarthikKothareddy/data-science-notebooks/blob/b3283f1e24046a58153bdecc9ae39b32ae8f530a/notebooks/tensorflow/Tensorflow-3-Regularization.ipynb,16020
32,32,3_regularization.ipynb,https://nbviewer.jupyter.org/github/Achraf112Ben/DeepLearningTraining/blob/46021be814bf835cc798f54c0f0d68b384eb3b96/3_regularization.ipynb,14815
33,33,regularization.ipynb,https://nbviewer.jupyter.org/github/melty-chocolate/Udacity-DL/blob/60df38bb4d7d00001f993e3cc12194056a44fdb2/regularization.ipynb,26718
34,34,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/todddangerfarr/udacity-deep-learning/blob/fe6f705cd4b70123130b27d11658467970be91ee/2_fullyconnected.ipynb,10226
35,35,3_regularization-checkpoint.ipynb,https://nbviewer.jupyter.org/github/philipgura/deep-learning/blob/f489aba572dc964e2978ef46eaee26ac5e305b7a/.ipynb_checkpoints/3_regularization-checkpoint.ipynb,16534
36,36,3_regularization.ipynb,https://nbviewer.jupyter.org/github/ldpalcu/DeepLearning-Udacity/blob/4dce7d31d764d13da9225fbac9de59b8ba927381/3_regularization.ipynb,22626
37,37,3_regularization.ipynb,https://nbviewer.jupyter.org/github/onlylearn2016/udacity_deep_learning/blob/6cf4b18136efd2699e1e27d20cff17ce0dd03f7a/3_regularization.ipynb,15276
38,38,3_regularization.ipynb,https://nbviewer.jupyter.org/github/patadadeburro/deep_learning_uda730/blob/356239e348817d294bc0b3917111a9fcf42f69c6/3_regularization.ipynb,22704
39,39,3_regularization.ipynb,https://nbviewer.jupyter.org/github/bulgariamitko/udemy/blob/784dcda6232477e741089fa3a60c7903e2740253/deep%20learning/3_regularization.ipynb,20170
40,40,3_regularization.ipynb,https://nbviewer.jupyter.org/github/venknar/udacity-deep-learning/blob/2d9ef694dcfbd61911d6f58a1fbe4a7b57b2a008/3_regularization.ipynb,22098
41,41,3_regularization.ipynb,https://nbviewer.jupyter.org/github/aranair/udacity-machine-learning-engineer/blob/5a25f81e6d8f4fb1490a17e85c66d1f7edf55cf5/deep-learning-tensorflow/3_regularization.ipynb,15845
42,42,lecture_chap05_exercise_master.ipynb,https://nbviewer.jupyter.org/github/jusui/Data_Science/blob/be6cbcf3c98d15e4cac2ad772d8bf057827c730b/Lecture/Matsuo/lecture_chap05_exercise_master.ipynb,10282
43,43,05_convolutional_net.ipynb,https://nbviewer.jupyter.org/github/Badissane/TF-Tutorials_1/blob/d6bdab7df46492446c48537fcf37e20ba44e8168/05_convolutional_net.ipynb,3713
44,44,3_regularization.ipynb,https://nbviewer.jupyter.org/github/TheRevanchist/Experimenting-deep-learning-libraries/blob/75044efa1f1480b909810200c3a399960e17ea51/Tensorflow/udacity/3_regularization.ipynb,9527
45,45,3_regularization.ipynb,https://nbviewer.jupyter.org/github/vdasu/ud730-assignments/blob/fe1a95baa28d7435fe72d3b3affa28f44cf8015e/3_regularization.ipynb,17027
46,46,2_fullyconnectedCompleted.ipynb,https://nbviewer.jupyter.org/github/dmenin/UdacityMachineLearningEngineerNanodegree/blob/6ae1d5bd593862c8df1c463be83cf10bef068bd6/5_Capstone/DeepLearning/L1/2_fullyconnectedCompleted.ipynb,10334
47,47,3_regularization.ipynb,https://nbviewer.jupyter.org/github/lightatron/neural1/blob/412bacbe58895ad85f85fdd14d753faa1061cfd4/3_regularization.ipynb,19141
48,48,A2.ipynb,https://nbviewer.jupyter.org/github/boya-zhou/deep_learning_exercise/blob/5ac8a3898fb324f5e7b00d4bceb79b9ca5deea7f/A2.ipynb,10829
